"Cutthroat1"	"Bartuc's Cut-Throat"
"11348"	"um. Wezwanie Burzy nie zadaje Obrażeń Błyskawic\num.Wezwanie Burzy Zadaje teraz podwójne Obrażenia"
"11349"	"+14% Obrażeń Magii za pkt um. Ukrzyżowanie (Bazuje na Rozdanych pkt.)"
"11350"	"Shadow Refuge: -1% to Enemy Fire and Poison Resists per Base Level"
"11351"	"+200% Czas Trwania um. Solaris"
"11352"	"Przygotowanie um.Wycinka nie może zejść poniżej 0.8 s"
"11353"	"Możesz używać tylko Bezpośrednich Ataków,Przywołań i um. Wsparcia"
"11354"	"Przebicie Ognia Zmniejsza Przebicie Zimna\nObrażenia czarów Ognia Zmniejszają Obrażenia Czarów Zimna\num. Nova Zlodowacenia nie zamraża wrogów\nNova Zadaje 150% Obrażeń"
"11355"	"\dgrey; 20 s Przygotowania do Linii Um. Błyskawic\n\orange;Jeśli masz rozdane Punkty w Um Linii Ognia,Zimna,Trucizn:"
"11356"	"60% Obrażeń broni zostaje dodane do um. Pole Magnetyczne jako Bonus Obrażeń Fizycznych\n100% Bonusu Obrażeń Błyskawic z um. Pole Magnetyczne zostaje dodanych do Obrażeń Fizycznych"
"11357"	"w innym wypadku, +20% Zabójczy Cios\nJeśli w Ekwipunku Pomocnika, +100% Odnajdywania Skarbów"
"11358"	"Summon One Extra Necromancer Minion With Each Cast
"11359"	"w innym wypadku, um. Synapsa ma -10% Całkowitych Obrażeń\nJeśli nie zostałeś trafiony przez kilka chwil, um.Synapsa ma+30% Całkowitych Obrażeń"
"11360"	"-1.5% do Odporności Wroga na Trucizny za Punkt w um. Postawa Węża (Bazuje na Rozdanych Pkt.)\nPostawa Węża wpływa tylko na Bohatera"
"11361"	"\dgrey;-1% do Odpornści Wroga na Ogień i Błyskawice za 60 pkt Atrybutów\n+200% do Obrażeń Czarów Ognia i Błyskawic\nDodaje 3 - 5 Obrażeń za 10 Pkt. Atrybutów\nDodaje od 3 - 5 Obrażeń Ognia za 10 pkt. Atrybutów\n\orange;Kiedy Używasz um. Kołowrotek:"
"11362"	"Obrażenia Sług Zwiększają także Twoje Obrażenia Czarów z 33% Efektywnością"
"11363"	"+1% Szybkości Ataku za 20 Pkt. Siły"
"11364"	"\dgrey;+0.5% do Maksymalnych Odporności na Żywioły\n+250 do Życia\n\grey;(Bonus per Socketed Great/Elemental Runes)\n\orange;Gematria"
"11365"	"Nie Zadajesz Obrażeń Błyskawic"
"x"	""
"x"	""
"11368"	"Gratulacje!"
"11369"	"połącz w Kostce po zabicu Smoka Ciemnej Gwaizdy w czasie poniżej 1 Min i 30 Sek"
"11370"	"+8 do Maksymalnych Pocisków um.Rozwidlona Błyskawica"
"11371"	"Nie Zadajesz Druzgocących Uderzeń\nTwoje Ataki Ignorują Obronę Fizyczną Nieumarłych\n40% Zwiększonego Życia Sług zostaje dodane do Całkowitej Obrony Bohatera\n6% Wzmocnień Obrażeń Sług Zostaje Dodanych do Zabójczego Uderzenia"
"11372"	"(Maks: 1 minuta na Każdego Bosa)\nPołącz w Kostce Po Zabiciu Imperiusa i Malthaela"
"11373"	"Cube with Essence/Runestone to Roll Stat"
"11374"	"Can be Upgraded with Ghost Trance"
"11375"	"Chance to Avoid Damage becomes 0%"
"11376"	"Żywiołaki Ognia Zyskują 100% swoich Obrażeń Fizycznych jako Obrażenia Ognia"
"11377"	"Dodaje 2 - 4 Obrażeń Od Ognia,Zimna,Błyskawic jako Obrażenia Broni z każdy 1 pkt Udziału Siły"
"11378"	"+200% Obrażeń Fizycznych Jeśli Dzierżone jest Berło"
"11379"	"\dgrey;+1 Pocisk do um. Powiew Mrozu\n\orange;Jeśli Dierżysz tę Broń w dwóch rękach:"
"11380"	"\dgrey; +300% Bonus do Obrażeń um. Borowiec\n\orange;Jeśli Dierżysz tę Broń w dwóch rękach:"
"11381"	"+20 s Przygotowania do um. Żywiołak Lodu"
"11382"	"+20 s Przygotowania do um. Duch Ostrzy"
"11383"	"+30 s Przygotowania do um. Dżin"
"11384"	"+1 Pocisk do um. Ossuarium\n+100% Czasu Trwania um. Zmora"
"11385"	"+50% Obrażeń Trucizn do um. Huragan"
"11386"	"Um. Rój Strzał wyzwala 50% więcej pocisków"
"11387"	"Sanguine Covenant Regenerates 3.5% of Maximum Life per Second"
"11388"	"Ecstatic Frenzy Does Not Reduce Your Defense"
"11389"	"+3 Pociski do um. Żądło Skorpiona"
"11390"	"um. Starożytny Obrońca Uzyskuje 100% Twojej Statystyki Zabójczy Cios"
"11391"	"+100% to Veil King Damage\n+100% to Veil King Life"
"11392"	"Masz teraz Mniejszą Odproność na Obrażenia podczas Um. Pan Śmierci"
"11393"	"\dgrey;+3 to Maximum Damage per Tantrum Skill Level\n+0.5% Crushing Blow per Tantrum Skill Level\n+0.5% Deadly Strike per Tantrum Skill Level\n\orange;While Tantrum is Active:"
"11394"	"+40% Total Damage to Graveyard\n+2 Projectiles to Graveyard\nDeal No Fire, Lightning or Cold Damage"
"11395"	"+1,5% Obrażeń Czarów Zimna za Każdy pkt. we Wszystkich Twoich Pasywnych Um. o nazwie Ścieżka\n+1 Pocisków do um. Hibernacja"
"11396"	"Te Obrażenia Ognia Rosną o 10% za każdy Zainwestowany pkt w um. Linii Kusza\n+500 Obrażeń Ognia do um. Metaliczny Ogień"
"11397"	"+18% Bonus Obrażeń Ognia do um. Uderzenie Śłońca za każdy Zainwestowany pkt.w um. Linii Łuk\num. Uderzenie Słonća wyzwala 1 Dodatkowy Pocisk"
"11398"	"+200% Bonus Obrażeń Magii do um. Pasożyt"
"11399"	"-1% do Odporności Wrogów na Żywioły za Każdy Zainwestowany pkt. w um. Rzeź"
"11400"	"Obrażenia Ognia zwiększone o 15% za Zainwestowany pkt. w um .Dziki Ogień \nDodaje 750 Obrażeń Ognia do um. Bóstwo Scosglen"
"11401"	"+4% Bonus Obrażeń Magicznych do um. Śmieszek za każdy Zainwestowany pkt. w um. Linii Łuk"
"11402"	"\dgrey;Dodaje 200 - 400 Obrażeń Zimna\n-10% do Odporności Wroga na Zimno\n\grey;(Bonus per Socketed Great/Elemental Runes)\n\orange;Gematria"
"11403"	"Dodaje 50 - 100% od Zręczności jako Obrażenia Magii do Broni"
"11404"	"Three's a Company''\n''Cross the Wide, Somber Seas I Will Sail"
"11405"	"''Cross the Wide, Somber Seas I Will Sail''"
"11406"	"\dgrey;+25% Całkowita Obrona Bohatera\n-5% Odporności na Żywioły\n+5% Odporności Fizycznej\n\grey;(Bonus per Socketed Great/Elemental Runes)\n\orange;Gematria"
"11407"	"+1 Pocisk do um. Natrętna Zjawa"
"11408"	"+2 Pociski do um. Natrętna Zjawa"
"11409"	"-2% do Odporności Wroga na Żywioły za pkt um. Duch Nefalema (Bazuje na Rozdanych Pkt.)"
"11410"	"+3% Obrażeń Czarów Błyskawic za Poziom um. Duch Zemsty"
"11411"	"+50% Całkowitych obrażeń do um. Egzorcyzm"
"11412"	"Um. Krwawa Łaźnia jest na Tobie aktywna"
"11413"	"(Maks: 1 min pomiędzy wyrokami)\nPołącz w Kostce po zabiciu Rathma i Mendeln"
"StrCfgAutomapMode"	"Mała automapa"
"StrCfgTextOnlyNotif"	"Notyfikacje tekstowe"
"StrCfgDebugUi"	"Odblokowuje Tryb Debug"
"StrCfgColorblind"	"Ślepota Barw"
"StrMinute"	" minut"
"StrMinutes"	" minuty"
"11420"	"+700% Enhanced Weapon Damage"
"11421"	"-70% to Enemy Elemental Resistances"
"11422"	"Level 20 Warp Field Aura"
"11423"	"Flametail Shot Only Gains 1 Projectile per 7 Base Levels"
"StrCfgShowAutomapParty"	"Display summons and mercenary on map"
"11425"	"+1 Extra Veil King"
"11426"	"+20% Total Damage to Night Hawks\n+25% Total Damage to Veil King\n+5 Extra Night Hawks"
"11427"	"Jinn Inherit Iron Golem's Regeneration\n+2 to Jinn's Eruption Projectiles\n+2 Extra Fireheart Totems"
"11428"	"Blood Skeleton: +10 to Grim Vision Aura"
"11429"	"\dgrey;+200% to Summoned Minion Damage\n+20% Crushing Blow\n+20% Deadly Strike\n\orange;When Iron Golem Consumes This Item:"
"11430"	"+20% Improved Soulbond Effect\n+3 Extra Totems"
"11431"	"\dgrey;Soulbond: +50% Life after each Kill\nSoulbond: Damage Reduced by 25%\nSoulbond: +25% Total Damage\n\orange;When You Have All Four Totems:"
"11432"	"Slain Monsters Rest in Peace"
"11433"	"a part of it cannot be synthesized in this timeline\nThis peculiar key seems to resonate with immense power"
"11434"	"\dgrey;+50 to Life\n+50 to Mana\n+5% Magic Find\n+1% Physical Resist\n+10 Life after each Kill\n\grey;(Based on Trophies)\n\orange;Medals of Honor"
"11435"	"\gold;Summon Two Edyrem Minions per Cast\n\dgrey;+50% Chance of Crushing Blow\n+20% of Life Added as Damage\n20% Reanimate as: \yellow;Edyrem\dgrey;\n\orange;Summon Edyrem:\n\red;Talic Morph"
"11436"	"Summon Edyrem: +5000 Defense"
"11437"	"\dgrey;+10 Energy\n+10 Dexterity\n\orange; Cube with a Trophy to Add Bonus: "
"11438"	"\dgrey;+10 Vitality\n+10 Strength\n\orange; Cube with a Trophy to Add Bonus:"
"11439"	"Lightning Fury Scales with Spell Damage"
"11440"	"ATMG Sentry: +40 Magic Damage per Level"
"11441"	"+250% to Veil King Life and Damage"
"11442"	"To unlock its true power\n\n\dgrey;Shaad Rune\nAuhe Rune\nthree Greater Signets of Learning\n\blue;Transmute this item with:"
"11443"	"To unlock its true power\n\n\dgrey;Qor Rune\nGhal Rune\nthree Greater Signets of Learning\n\blue;Transmute this item with:"
"11444"	"Tantrum: 40% of Vitality added as Cold Damage"
"11445"	"Gamma Field: Increased Damage and Lowered Duration"
"11446"	"Soulshatter: +200 Fire damage per Level"
"11447"	"\dgrey;+500 to Energy\n+50% Movement Speed\nTotal Character Defense = 50%\n\orange;After using Cataclysm: \n"
"11448"	"\dgrey;+3% Hit Recovery (per Base Level)\n+3% to Cold Spell Damage (per Base Level)\n\orange;After using Mana Sweep: "
"11449"	"\gold;Wyrd Cooldown Increased by 0.3 seconds\n\orange;Wyrd: Stuns Target for 0.2 seconds"
"11450"	"Congratulations!"
"11451"	"Adds 9000 - 9000 Magic Damage"
"11452"	"Nearby enemies lose 10% Magic and Elemental resistances"
"11453"	"\dgrey;- Demonic Forgery -"
"11454"	"\dgrey;- Curse of the Warlord -"
"11455"	"\dgrey;- Divine Mandate -"
"11456"	"\dgrey;- Arcane Guidance -"
"11457"	"\dgrey;- Eternal Reign -"
"11458"	"\dgrey;- Infernal Blaze -"
"11459"	"\dgrey;- Demonic Delirium -"
"11460"	"\dgrey;- Blighted Grace -"
"11461"	"\dgrey;- Askari Valor -"
"11462"	"\dgrey;- Virtuosity of the Elements -"
"11463"	"\dgrey;- Web of Deception -"
"11464"	"\dgrey;- Vile Dissolution -"
"11465"	"\dgrey;- Power Synthesis -"
"11466"	"\dgrey;- Glimmer of Genesis -"
"11467"	"\dgrey;- Revelations of the Cult -"
"11468"	"\dgrey;- Legacy of the Ancients -"
"11469"	"\dgrey;- Shadow's Embrace -"
"11470"	"\dgrey;- Glow of the Dark Star -"
"11471"	"\dgrey;- Axioms of Equilibrium -"
"11472"	"\dgrey;- Stigma of Excidium -"
"11473"	"(The Armor will be Disenchanted by the Recipe)\nWhen Cubed with The Sleep, Enables an Additional Awakening"
"11474"	"\dgrey;- Athulua's Determination -"
"11475"	"\dgrey;remainders of a once powerful armor..."
"11476"	"Difficulty: 60%\nCongratulations!"
"11477"	"Difficulty: 65%\nCongratulations!"
"11478"	"Difficulty: 70%\nCongratulations!"
"11479"	"Difficulty: 75%\nCongratulations!"
"11480"	"Difficulty: 80%\nCongratulations!"
"11481"	"Difficulty: 85%\nCongratulations!"
"11482"	"Difficulty: 100%\nCongratulations!"
"11483"	"\blue;Cube with Trophy Fragment: Restore +10%\n\dgrey;Maximum Elemental Resists +3%\nTotal Character Defense +50%\n+2 to All Skills\n\grey;(Based on Restore Percentage)\n\orange;Restitution"
"11484"	"\blue;Cube with Trophy Fragment: Restore +4%\n\dgrey;Maximum Life +20%\nPhysical Resist +15%\n+50% Combat Speeds\n\grey;(Based on Restore Percentage)\n\orange;Restitution"
"11485"	"\blue;Cube with Trophy Fragment: Restore +5%\n\dgrey;+50% Magic Find\n+10 to All Skills\n+150 Life after each Kill\n-50% to Enemy Cold Resistance\nBecomes Available to All Classes\n\grey;(Based on Restore Percentage)\n\orange;Restitution"
"11486"	"\dgrey;Maximum Elemental Resists +3%\nTotal Character Defense +50%\n+2 to All Skills\n\orange;Trophy Blessing"
"11487"	"\dgrey;Maximum Life +20%\nPhysical Resist +15%\n+50% Combat Speeds\n\orange;Trophy Blessing"
"11488"	"\dgrey;+50% Magic Find\n+10 to All Skills\n-50% to Enemy Cold Resistance\n\orange;Trophy Blessing"
"11489"	"70% of Strength Added as Fire Damage to Weapon"
"11490"	"45% of Dexterity Added as Cold Damage to Weapon"
"11491"	"50% of Dexterity Added as Lightning Damage to Weapon"
"11492"	"50% of Dexterity Added as Tri-Elemental Damage to Weapon"
"11493"	"Catalyst Trap Cooldown Reduced by 10 seconds\nIncineration Trap Radius Reduced by 50%"
"11494"	"+1% Trap Damage per 5 Base Strength"
"11495"	"\dgrey;50% of Strength Added as Bonus Magic Damage\n\orange;Area Effect Attack:"
"11496"	"+0.75% Physical Resist per Resurgence Base Level\n+1% Maximum Elemental Resists per Totem of that Element"
"11497"	"-25% to Enemy Elemental Resistances for Your Traps"
"11498"	"\blue;Enhanced Weapon Damage -100%\n\orange;Adds 4 - 6 Fire Damage to Weapon per 1% Attack Speed"
"11499"	"Bloodbath Duration Increased by 5 seconds"
"11500"	"Backstab: Chance to Dodge Decreased by 100%\nBackstab: Duration Increased by 4 seconds"
